Achira (Canna, Arrowroot) | Scientific Names: Canna edulis | Family: Cannaceae
Turban Squash () | Scientific Names: Cucurbita maxima cv turbaniformis | Family: Cucurbitaceae
Turf Lily (lilyturf) | Scientific Names: Liriope muscari | Family: Asparagaceae
Umbrella Plant (Sulfur Flower, Wild Buckweat) | Scientific Names: Eriogonium umbellatum | Family: Polygonaceae
Urbinia Agavoides (Hens and Chickens, Mother Hens and Chicks, Chickens and Hens) | Scientific Names: Echeveria elegans | Family: Crassulaceae
Usambara Violet (Kenya Violet) | Scientific Names: Santpaulia confusa | Family: Gesneraceae
Variegated Laurel (speedy henry) | Scientific Names: Tradescantia flumeninsis | Family: Commelinaceae
Variegated Wax Plant () | Scientific Names: Echeveria sp. | Family:
Velvet Plant (Velvet Plant, Royal Velvet Plant, Purple Velvet Plant, Purple Passion Vine) | Scientific Names: Gynura aurantica | Family: Asteraceae
Venus Fly Trap () | Scientific Names: Dionaea muscipula | Family: Droseraceae
Verona Fern (Bold Sword Fern, Nephrolepis Biserrata, Verona Lace Fern) | Scientific Names: Nephrolepis biserrata | Family: Dryopteridaceae
Verona Lace Fern (Bold Sword Fern, Nephrolepis Biserrata, Verona Fern) | Scientific Names: Nephrolepis biserrata | Family: Dryopteridaceae
Vining Peperomia () | Scientific Names: Peperomia serpens variegata | Family: Piperaceae
Violet Slipper Gloxinia (Bright Eyes) | Scientific Names: Sinningia speciosa | Family: Gesneriaceae
Waffle Plant (Purple Waffle Plant) | Scientific Names: Hemigraphis exotica | Family: Acanthaceae
Walking Anthericum (Ribbon Plant, Spider Plant, Spider Ivy) | Scientific Names: Chlorophytum comosum | Family: Liliaceae
Washington Hawthorn (Haws, Pirliteiro, Red Hawthorn) | Scientific Names: Crataegus species | Family: Rosaceae
Water Hickory () | Scientific Names: Carya aquatica | Family: Juglandaceae
Water Hyacinth () | Scientific Names: Eichhornia crassipes | Family: Pontederiaceae
Watermelon Begonia () | Scientific Names: Peperomia argyreia | Family: Piperaceae
Watermelon Peperomia (Watermelon Begonia) | Scientific Names: Peperomia argyreia | Family: Piperaceae
Watermelon Pilea (Watermelon Plant, Aluminum Plant) | Scientific Names: Pilea cadieri | Family: Urticaceae
Wax Plant (Hindu Rope Plant, Porcelain Flower) | Scientific Names: Hoya carnosa 'krinkle kurl' | Family: Asclepiadaceae
Wax Rosette (Maroon Chenille Plant, Painted Lady, Copper Rose, Blue Echeveria, Plush Plant) | Scientific Names: Echeveria gilva | Family: Crassulaceae
Weeping Bottlebrush (Bottlebrush, Prickly Bottlebrush, Crimson Bottlebrush) | Scientific Names: Callistemon species | Family: Myrtaceae
Weeping Sargent Hemlock (Many varieties) | Scientific Names: Tsuga species | Family: Pinaceae
Weisdornbluten (Haws, Pirliteiro, Red Hawthorn, Washington Hawthorn) | Scientific Names: Crataegus species | Family: Rosaceae
West Indian Gherkin (Goareberry Gourd, Gooseberry Gourd, Burr Gourd) | Scientific Names: Cucumis anguria | Family: Cucurbitaceae
Western Sword (Sword Fern, Giant Holly Fern, Imbricate Sword Fern) | Scientific Names: Ploystichum munitum | Family: Polypodaceae
White Edged Swedish Ivy (Creeping Charlie, Swedish Ivy) | Scientific Names: Plectranthus australis | Family: Pilea: Uriticaeae; Plectranthus: Lamiaceae
White Ginger (Butterfly Ginger, Cinnamon Jasmine, Garland Flower, Ginger Lily) | Scientific Names: Hedychium coronarium | Family:
White Heart Hickory () | Scientific Names: Carya tomentosa | Family: Juglandaceae
Whitman Fern (Bold Sword Fern, Nephrolepis Biserrata, Verona Fern, Verona Lace Fern) | Scientific Names: Nephrolepis biserrata | Family: Dryopteridaceae
Wild Buckwheat (Sulfur Flower, Umbrella Plant) | Scientific Names: Eriogonium umbellatum | Family: Polygonaceae
Wild Hyacinth (Blue Dicks) | Scientific Names: Dichelostemma pulchellum | Family: Amaryllidaceae
Wild Lantana (Sand Verbena, Prairie Snowball) | Scientific Names: Abronia fragrans | Family: Nyctaginaceae
Wild Sasparilla (Sawbrier) | Scientific Names: Smilax glauca | Family: Liliaceae
Wild Strawberry (Strawberry) | Scientific Names: Fragaria | Family: Rosaceae
Willow Herb (Blooming Sally, Fire Weed) | Scientific Names: Epilobium angustifolium | Family: Onagraceae
Windmill Palm (Chusan Palm) | Scientific Names: Trachycarpus fortunei | Family: Palmea
Winter Cattleya (Christmas Orchid) | Scientific Names: Cattleya trianaei | Family: Orchidaceae
Withered Snapdragon () | Scientific Names: Anthirrhinum multiflorum | Family: Schrophulariaceae
Woolflower () | Scientific Names: Celosia cristata | Family: Amaranthaceae
Yellow Bloodleaf (Chicken Gizzard, Bloodleaf, Joseph's Coat) | Scientific Names: Iresine herbstii | Family: Amaranthaceae
Yellow Palm (Golden Butterfly Palm, Cane Palm, Golden Feather Palm, Yellow Palm) | Scientific Names: Dypsis lutescens | Family: Palmae
Yellow-Flowered Gourd () | Scientific Names: Cucurbita species | Family: Cucurbitaceae
Yellowrocket () | Scientific Names: Barbarea vulgaris | Family: Brassicaceae
Yorba Linda () | Scientific Names: Peperomia rotundifolia | Family: Piperaceae
Zebra Haworthia () | Scientific Names: Haworthia fasciata | Family: Liliaceae
Zinnia () | Scientific Names: Zinnia species | Family: Asteraceae
Zucchini Squash () | Scientific Names: Cucurbia pepo cv zucchini | Family: Cucurbitaceae
